id,guild,boss
620878,Inquisition,Hydross:4
620878,Inquisition,Lurker:4
620878,Inquisition,Leotheras:4
620878,Inquisition,Karathress:4
620878,Inquisition,Morogrim:4
620878,Inquisition,Vashj:3
620882,Endurance,Hydross:4
620882,Endurance,Lurker:4
620882,Endurance,Leotheras:4
620882,Endurance,Karathress:4
620882,Endurance,Morogrim:4
620882,Endurance,Vashj:0
620893,Final Exit,Hydross:3
620893,Final Exit,Lurker:3
620893,Final Exit,Leotheras:3
620893,Final Exit,Karathress:3
620893,Final Exit,Morogrim:3
620893,Final Exit,Vashj:3
620898,Dreamstate,Hydross:4
620898,Dreamstate,Lurker:4
620898,Dreamstate,Leotheras:4
620898,Dreamstate,Karathress:4
620898,Dreamstate,Morogrim:4
620898,Dreamstate,Vashj:3
620905,Void,Hydross:3
620905,Void,Lurker:3
620905,Void,Leotheras:3
620905,Void,Karathress:3
620905,Void,Morogrim:3
620905,Void,Vashj:3
620928,Eclypse,Hydross:4
620928,Eclypse,Lurker:4
620928,Eclypse,Leotheras:4
620928,Eclypse,Karathress:4
620928,Eclypse,Morogrim:4
620928,Eclypse,Vashj:3
620932,Schicksal,Hydross:4
620932,Schicksal,Lurker:4
620932,Schicksal,Leotheras:4
620932,Schicksal,Karathress:4
620932,Schicksal,Morogrim:4
620932,Schicksal,Vashj:3
620936,Lethality,Hydross:4
620936,Lethality,Lurker:4
620936,Lethality,Leotheras:4
620936,Lethality,Karathress:4
620936,Lethality,Morogrim:4
620936,Lethality,Vashj:0
620941,Untamed,Hydross:4
620941,Untamed,Lurker:4
620941,Untamed,Leotheras:4
620941,Untamed,Karathress:4
620941,Untamed,Morogrim:4
620941,Untamed,Vashj:3
621298,Final Exit+Omega,Hydross:3
621298,Final Exit+Omega,Lurker:3
621298,Final Exit+Omega,Leotheras:3
621298,Final Exit+Omega,Karathress:0
621298,Final Exit+Omega,Morogrim:0
621298,Final Exit+Omega,Vashj:0
621610,Exile+Onslaught,Hydross:0
621610,Exile+Onslaught,Lurker:3
621610,Exile+Onslaught,Leotheras:0
621610,Exile+Onslaught,Karathress:0
621610,Exile+Onslaught,Morogrim:0
621610,Exile+Onslaught,Vashj:0
622589,Clan Bloodfist,Hydross:4
622589,Clan Bloodfist,Lurker:4
622589,Clan Bloodfist,Leotheras:4
622589,Clan Bloodfist,Karathress:4
622589,Clan Bloodfist,Morogrim:4
622589,Clan Bloodfist,Vashj:3
622910,Bloodlust,Hydross:3
622910,Bloodlust,Lurker:4
622910,Bloodlust,Leotheras:0
622910,Bloodlust,Karathress:0
622910,Bloodlust,Morogrim:0
622910,Bloodlust,Vashj:0
