id,guild,boss
620997,Dreamstate,Al'ar:3
620997,Dreamstate,Solarian:3
620997,Dreamstate,Void Reaver:3
620997,Dreamstate,Kael'thas:3
621418,Schicksal,Al'ar:0
621418,Schicksal,Solarian:0
621418,Schicksal,Void Reaver:3
621418,Schicksal,Kael'thas:0
621428,Lethality,Al'ar:0
621428,Lethality,Solarian:0
621428,Lethality,Void Reaver:3
621428,Lethality,Kael'thas:0
621465,Eclypse,Al'ar:0
621465,Eclypse,Solarian:0
621465,Eclypse,Void Reaver:3
621465,Eclypse,Kael'thas:0
621472,Untamed,Al'ar:0
621472,Untamed,Solarian:0
621472,Untamed,Void Reaver:3
621472,Untamed,Kael'thas:0
